index,p0re,p0im,p1re,p1im
510,-0.37560,1.25331,-1.33539,-1.08151
511,-0.42242,1.25463,-1.32980,-1.12424
512,-0.46931,1.25421,-1.32357,-1.16466
513,-0.51613,1.25196,-1.31678,-1.20265
514,-0.56271,1.24800,-1.30932,-1.23805
515,-0.60890,1.24231,-1.30129,-1.27101
516,-0.65459,1.23504,-1.29267,-1.30127
517,-0.69963,1.22611,-1.28343,-1.32884
518,-0.74386,1.21572,-1.27360,-1.35367
519,-0.78711,1.20375,-1.26329,-1.37575
520,-0.82928,1.19051,-1.25243,-1.39508
521,-0.87022,1.17614,-1.24103,-1.41158
522,-0.90972,1.16062,-1.22927,-1.42537
523,-0.94774,1.14417,-1.21695,-1.43638
524,-0.98399,1.12689,-1.20425,-1.44448
525,-1.01853,1.10902,-1.19121,-1.44996
526,-1.05113,1.09066,-1.17782,-1.45268
527,-1.08162,1.07182,-1.16396,-1.45291
528,-1.10990,1.05291,-1.14989,-1.45042
529,-1.13583,1.03392,-1.13559,-1.44541
530,-1.15930,1.01499,-1.12102,-1.43789
531,-1.18022,0.99640,-1.10631,-1.42803
532,-1.19845,0.97814,-1.09143,-1.41592
533,-1.21397,0.96042,-1.07652,-1.40152
534,-1.22658,0.94339,-1.06157,-1.38501
535,-1.23612,0.92706,-1.04663,-1.36659
536,-1.24268,0.91166,-1.03171,-1.34622
537,-1.24607,0.89718,-1.01698,-1.32408
538,-1.24618,0.88379,-1.00252,-1.30038
539,-1.24312,0.87153,-0.98822,-1.27511
540,-1.23683,0.86034,-0.97423,-1.24842
541,-1.22715,0.85036,-0.96056,-1.22045
542,-1.21414,0.84156,-0.94743,-1.19140
543,-1.19773,0.83405,-0.93479,-1.16134
544,-1.17797,0.82766,-0.92273,-1.13056
545,-1.15489,0.82242,-0.91130,-1.09906
546,-1.12859,0.81835,-0.90058,-1.06704
547,-1.09902,0.81534,-0.89049,-1.03464
548,-1.06640,0.81330,-0.88122,-1.00192
